 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   WE  OP       CE     
 0432     77      F    0   0        1111110 1111                              
 0433     76      3    0   0        1111110 1111                              
 0434     75      0    0   0        1111110 1111                              
 0435     74      4    0   0        1111110 1111                              
 0436     73      1    0   0        1111110 1111                              
 0437     7C      0    0   0        1111110 1111                              
 0438     7B      0    0   0        0111110 1111                              
 0439     7A      0    0   0        0111110 1111                              
 0440     79      0    0   0        0111110 1111                              
 0441     78      0    0   0        0111110 1111                              
 0442     77      0    0   0        0111110 1111                              
 0443     76      4    0   0        0111110 1111                              
 0444     75      4    0   0        0111110 1111                              
 0445     74      4    0   0        0111110 1111                              
 0446     73      5    0   0        0111110 1111                              
 0447     7C      F    1   0        0111101 1111                              
 0448     7B      F    1   0        0111101 1111                              
 0449     7A      F    1   0        0111101 1111                              
 0450     79      F    1   0        0111101 1111                              
 0451     78      F    1   0        1111101 1111                              
 0452     77      F    1   0        1111101 1111                              
 0453     76      3    1   0        1111101 1111                              
 0454     76      3    1   0        1111101 1111                              
 0455     75      0    1   0        1111101 1111                              
 0456     74      4    1   0        1111101 1111                              
 0457     73      1    1   0        1111101 1111                              
 0458     7E      0    1   0        1111101 1111                              
 0459     7D      0    1   0        1111101 1111                              
 0460     7C      0    1   0        1111101 1111                              
 0461     7B      0    1   0        1111101 1111                              
 0462     7A      0    1   0        1111101 1111                              
 0463     79      8    1   0        1111101 1111                              
 0464     78      0    1   0        1111101 1111                              
 0465     77      0    1   0        1111101 1111                              
 0466     76      4    1   0        1111101 1111                              
 0467     75      4    1   0        1111101 1111                              
 0468     74      4    1   0        1111101 1111                              
 0469     73      5    1   0        1111101 1111                              
 0470     7C      F    0   0        0111110 1111                              
 0471     7B      F    0   0        0111110 1111                              
 0472     7A      F    0   0        0111110 1111                              
 0473     79      F    0   0        0111110 1111                              
 0474     78      F    0   0        0111110 1111                              
 0475     77      F    0   0        0111110 1111                              
 0476     76      F    0   0        0111110 1111                              
 0477     75      F    0   0        0111110 1111                              
 0478     74      F    0   0        0111110 1111                              
 0479     73      F    0   0        0111110 1111                              
 0480     7E      0    0   0        0111110 1111                              
 0481     7D      0    0   0        0111110 1111                              
 0482     7C      0    0   0        0111110 1111                              
 0483     7B      0    0   0        0111110 1111                              
 0484     7A      0    0   0        0111110 1111                              
 0485     79      0    0   0        1111110 1111                              
 0486     78      0    0   0        1111110 1111                              
 0487     77      0    0   0        1111110 1111                              
 0488     76      0    0   0        1111110 1111                              
 0489     75      8    0   0        1111110 1111                              
 0490     74      0    0   0        1111110 1111                              
 0491     73      0    0   0        1111110 1111                              
 0492     7C      F    0   0        0111110 1111                              
